,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
164,79969826.08704072,0.000923010207069382,19714713.83173465,0.0027381664512651912,61400000.0,9813.018930218363
165,84000374.10197371,0.005538061242416291,137537273.74406102,0.0,151900000.0,1434.3836982057285
166,109448217.91765803,0.0,53358573.6002109,0.0,0.0,0.0
167,131919288.31926736,0.0,90056671.89500836,0.027665342301848708,760700000.0,0.0
168,131457643.0999583,0.007598906313943288,130817593.27963929,0.0001909331520858682,182600000.0,3695.8859065977304
169,256763374.35030136,0.0,94693603.09575857,0.00812725226682129,267200000.0,0.0
170,120655631.25191697,0.015383503451156367,108865050.17260182,0.030535687336068606,121200000.0,0.0
171,82177854.37813279,0.0,207875623.52720356,0.0,997200000.0,4519.173033091546
172,68139002.95605196,0.0,82006672.87217098,0.05072512260476933,473900000.0,0.0
173,82486364.32617709,0.0,239458735.98520547,0.0,997200000.0,0.0
174,186991155.56034988,0.0,52357176.648558155,0.016120202515715252,898900000.0,0.0
175,95213987.28559849,0.0,149890240.94179028,0.005260801556616453,498500000.0,739.5838573282552
176,83497824.69174261,0.0,91384643.20377687,0.02922667531453585,800900000.0,0.0
177,82177854.37813279,0.0,107951506.90117814,0.016848693703679068,577200000.0,0.0
178,78453877.84187987,0.0,113454271.89419729,0.0,1027900000.0,0.0
179,77099991.75787257,0.0,55236625.64098555,0.06343020515724603,1105000000.0,0.0
180,47847947.961454235,0.0,36017352.68235521,0.04149801345277306,929900000.0,0.0
181,109423197.42458755,0.06604287887744495,86138792.60052809,0.004330479265563388,0.0,0.0
182,68139002.95605196,0.0,83218658.75283495,0.04655613146539509,641400000.0,0.0
183,0.0,0.0,133928916.85493997,0.012307273636174777,84600000.0,0.0
184,154058455.93250468,0.0,19457251.99473615,0.022231872795545463,517400000.0,0.0
185,204191163.4558727,0.05065937542628858,29560603.156886727,0.03392191253126804,30700000.0,0.0
186,171143888.83010375,0.021006405774672034,86150347.87208718,0.0035915621069145427,0.0,2493.231594405224
187,76431543.68310125,0.0,102304662.35867584,0.01021795948967141,1374500000.0,0.0
188,66507014.9338145,0.0,167103107.62740654,0.004063626133410645,351800000.0,0.0
189,32694901.094161935,0.0,138955938.39222026,0.004125336701556776,916200000.0,0.0
190,71223146.50296113,0.0,55007976.00999457,0.019424715310670727,1039100000.0,0.0
191,88429031.37443781,0.0,119029644.82725641,0.022453827963448136,327000000.0,0.0
192,37255203.23710208,0.0,68515376.13025023,0.029985095499285172,84600000.0,0.0
193,119076882.10729173,0.0,29367021.15067353,0.033872639937109456,236500000.0,0.0
194,37255203.23710208,0.0,127715726.53538315,0.0026678247354654555,176700000.0,3130.081783365878
195,42291505.65437629,0.0,86084372.43095136,0.044215744709318584,84600000.0,0.0
196,0.0,0.0,255861989.36510822,0.0,230600000.0,0.0
197,100714900.1874114,0.0,86132260.79253048,0.0028921177539245734,1178200000.0,0.0
198,68139002.95605196,0.0,178829942.70358348,0.0,61400000.0,4035.719824770068
199,0.0,0.0,89065282.58563831,0.004726535161490535,230600000.0,1134.8139165654875
200,42291505.65437629,0.0,59684505.969125375,0.0023545789983563706,30700000.0,6641.378067913053
201,37255203.23710208,0.0,68798537.67105806,0.024339013356752606,520200000.0,0.0
202,95213987.28559849,0.0,66433059.6648344,0.015055720916362769,702800000.0,0.0
203,78453877.84187987,0.0,94693603.09575857,0.00812725226682129,267200000.0,0.0
204,112454988.58836943,0.0,49497524.54636512,0.01298621598316114,900600000.0,0.0
205,37255203.23710208,0.0,181024453.14671123,0.0,61400000.0,2484.6668409629337
206,53972506.18695759,0.0,51823788.1044599,0.0018978661133436654,581600000.0,5785.791092730282
207,126829027.92959374,0.0,153239447.87159294,0.0004932780135804728,515700000.0,784.0938438591527
208,109423197.42458755,0.06604287887744495,100759376.17493644,0.0,151900000.0,0.0
209,139204763.24930713,0.058351127151866765,82571683.4759498,0.039858659546744266,0.0,0.0
210,177704811.48679918,0.15197812627886575,16647104.10594977,0.018769710688257994,30700000.0,0.0
211,37255203.23710208,0.0,79050933.01486212,0.01489940599236336,1080100000.0,0.0
212,113207443.34922397,0.018237375153463888,123546075.24151087,0.0009639281159165338,182600000.0,2028.6310658389707
